state	deck	nply	cand	move0	move	prio	dQ_est	se_est	dQ_refA	se_refA	dQ_refB	se_refB
27	7	39	2	G7p0	Y7p0	0.169	-1.88	1.20	1.16	1.85	-2.60	0.45
28	6	40	1	G9p3	G9p1	0.233	1.36	2.01	1.31	1.14	-0.15	0.34
28	6	40	2	G9p3	G9p2	0.210	-3.38	1.99	0.44	0.96	0.54	0.48
28	6	40	3	G9p3	G9p0	0.160	1.94	1.88	3.14	1.58	-3.31	0.58
28	6	40	4	G9p3	R7p3	0.034	-0.82	1.92	0.56	0.89	-0.31	0.47
29	14	35	1	Y2p0	G8p0	0.357	2.19	2.57	-0.30	1.69	0.96	0.80
29	14	35	2	Y2p0	G8d0	0.078	-2.93	3.02	-8.23	2.21	-3.42	0.85
29	14	35	3	Y2p0	R8d0	0.036	-18.47	3.19	-18.67	2.98	-17.15	0.95
30	13	36	1	W2p0	Yxd0	0.161	-6.33	2.36	-4.25	2.24	-1.39	0.83
30	13	36	2	W2p0	W2p2	0.145	-4.06	3.26	-0.61	3.89	-1.38	0.93
30	13	36	3	W2p0	R9p0	0.128	-3.85	2.88	-0.94	2.44	-2.77	0.84
30	13	36	4	W2p0	Yxd2	0.045	0.26	2.72	-3.84	3.59	-1.93	0.90
31	12	37	1	G8p0	R8d0	0.158	1.72	1.81	3.92	1.91	1.72	0.70
31	12	37	2	G8p0	G8d0	0.102	-1.98	2.18	-2.02	2.19	-3.06	0.71
31	12	37	3	G8p0	Y6p0	0.080	-6.23	1.64	-5.48	2.13	-7.29	0.68
31	12	37	4	G8p0	Wxd0	0.054	-8.26	2.95	-14.06	3.08	-8.13	0.84
